state,repvote_16,census_region,pol_south
AL,0.643741436,South,South
AK,0.583856547,West,Nonsouth
AZ,0.518900234,West,Nonsouth
AR,0.642851377,South,South
CA,0.338717892,West,Nonsouth
CO,0.473166666,West,Nonsouth
CT,0.428584525,Northeast,Nonsouth
DC,,South,Nonsouth
DE,0.440013786,South,Nonsouth
FL,0.506188355,South,South
GA,0.526611726,South,South
HI,0.325586625,West,Nonsouth
ID,0.683101767,West,Nonsouth
IL,0.409799486,North Central,Nonsouth
IN,0.601173095,North Central,Nonsouth
IA,0.550635478,North Central,Nonsouth
KS,0.611114703,North Central,Nonsouth
KY,0.65670629,South,Nonsouth
LA,0.601716772,South,South
ME,0.484032089,Northeast,Nonsouth
MD,0.359837503,South,Nonsouth
MA,0.353487213,Northeast,Nonsouth
MI,0.501176682,North Central,Nonsouth
MN,0.491681431,North Central,Nonsouth
MS,0.590898473,South,South
MO,0.59818561,North Central,Nonsouth
MT,0.611096643,West,Nonsouth
NE,0.635476741,North Central,Nonsouth
NV,0.487062906,West,Nonsouth
NH,0.498029716,Northeast,Nonsouth
NJ,0.427158099,Northeast,Nonsouth
NM,0.453492051,West,Nonsouth
NY,0.382275815,Northeast,Nonsouth
NC,0.519037458,South,South
ND,0.698092429,North Central,Nonsouth
OH,0.542676846,North Central,Nonsouth
OK,0.693047372,South,Nonsouth
OR,0.438441611,West,Nonsouth
PA,0.503755358,Northeast,Nonsouth
RI,0.416892959,Northeast,Nonsouth
SC,0.574602564,South,South
SD,0.659718581,North Central,Nonsouth
TN,0.63624343,South,South
TX,0.547132256,South,South
UT,0.623836582,West,Nonsouth
VT,0.348135737,Northeast,Nonsouth
VA,0.471736237,South,South
WA,0.412130688,West,Nonsouth
WV,0.721610523,South,Nonsouth
WI,0.50407989,North Central,Nonsouth
WY,0.757053196,West,Nonsouth